platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,0,65536,65536,1.000000,169,369.822485,7545158f165814bb,7545158f165814bb,3,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,1,65536,65536,1.000000,170,367.647059,7545158f165814bb,7545158f165814bb,4,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,2,65536,65536,1.000000,169,369.822485,7545158f165814bb,7545158f165814bb,3,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,3,65536,65536,1.000000,169,369.822485,7545158f165814bb,7545158f165814bb,3,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-65536-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,4,65536,65536,1.000000,169,369.822485,7545158f165814bb,7545158f165814bb,3,7545158f165814bb,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,0,262144,262144,1.000000,722,346.260388,5c1552df8030fce4,5c1552df8030fce4,24,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,1,262144,262144,1.000000,684,365.497076,5c1552df8030fce4,5c1552df8030fce4,21,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,2,262144,262144,1.000000,679,368.188513,5c1552df8030fce4,5c1552df8030fce4,20,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,3,262144,262144,1.000000,721,346.740638,5c1552df8030fce4,5c1552df8030fce4,20,5c1552df8030fce4,true,true,passed
Android,noop,compression-bench-noop-0-pso_like-262144-v1,NX721J,pineapple,Android 14 (API 34),1.0.0,0,pso_like,4,262144,262144,1.000000,679,368.188513,5c1552df8030fce4,5c1552df8030fce4,20,5c1552df8030fce4,true,true,passed
