platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,2,262144,262144,1.000000,341,733.137830,dcf9578e5a22ffc3,dcf9578e5a22ffc3,5,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,3,262144,262144,1.000000,350,714.285714,dcf9578e5a22ffc3,dcf9578e5a22ffc3,6,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,4,262144,262144,1.000000,356,702.247191,dcf9578e5a22ffc3,dcf9578e5a22ffc3,27,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,0,1048576,1048576,1.000000,1424,702.247191,c8116c5bb5e46840,c8116c5bb5e46840,29,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,1,1048576,1048576,1.000000,1478,676.589986,c8116c5bb5e46840,c8116c5bb5e46840,43,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,2,1048576,1048576,1.000000,1325,754.716981,c8116c5bb5e46840,c8116c5bb5e46840,27,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,3,1048576,1048576,1.000000,1385,722.021661,c8116c5bb5e46840,c8116c5bb5e46840,27,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,4,1048576,1048576,1.000000,1319,758.150114,c8116c5bb5e46840,c8116c5bb5e46840,115,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,0,65536,65536,1.000000,82,762.195122,3d44fc31249b7fea,3d44fc31249b7fea,0,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,1,65536,65536,1.000000,82,762.195122,3d44fc31249b7fea,3d44fc31249b7fea,3,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,2,65536,65536,1.000000,82,762.195122,3d44fc31249b7fea,3d44fc31249b7fea,1,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,3,65536,65536,1.000000,82,762.195122,3d44fc31249b7fea,3d44fc31249b7fea,2,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,4,65536,65536,1.000000,82,762.195122,3d44fc31249b7fea,3d44fc31249b7fea,0,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,0,262144,262144,1.000000,339,737.463127,847d87b26df4af9b,847d87b26df4af9b,19,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,1,262144,262144,1.000000,348,718.390805,847d87b26df4af9b,847d87b26df4af9b,28,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,2,262144,262144,1.000000,340,735.294118,847d87b26df4af9b,847d87b26df4af9b,23,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,3,262144,262144,1.000000,350,714.285714,847d87b26df4af9b,847d87b26df4af9b,20,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,4,262144,262144,1.000000,431,580.046404,847d87b26df4af9b,847d87b26df4af9b,65,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,0,1048576,1048576,1.000000,1467,681.663258,31bf0a2c90ad6cea,31bf0a2c90ad6cea,22,31bf0a2c90ad6cea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,1,1048576,1048576,1.000000,1334,749.625187,31bf0a2c90ad6cea,31bf0a2c90ad6cea,87,31bf0a2c90ad6cea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,2,1048576,1048576,1.000000,1389,719.942405,31bf0a2c90ad6cea,31bf0a2c90ad6cea,93,31bf0a2c90ad6cea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,3,1048576,1048576,1.000000,1331,751.314801,31bf0a2c90ad6cea,31bf0a2c90ad6cea,21,31bf0a2c90ad6cea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,4,1048576,1048576,1.000000,1321,757.002271,31bf0a2c90ad6cea,31bf0a2c90ad6cea,59,31bf0a2c90ad6cea,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,0,65536,3045,21.522496,116,538.793103,7545158f165814bb,a12582c4d9b70dc1,13,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,1,65536,3045,21.522496,114,548.245614,7545158f165814bb,a12582c4d9b70dc1,12,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,2,65536,3045,21.522496,140,446.428571,7545158f165814bb,a12582c4d9b70dc1,21,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,3,65536,3045,21.522496,117,534.188034,7545158f165814bb,a12582c4d9b70dc1,13,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,4,65536,3045,21.522496,114,548.245614,7545158f165814bb,a12582c4d9b70dc1,12,7545158f165814bb,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,0,262144,10879,24.096332,474,527.426160,5c1552df8030fce4,aa93b299a8716384,44,5c1552df8030fce4,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,1,262144,10879,24.096332,448,558.035714,5c1552df8030fce4,aa93b299a8716384,44,5c1552df8030fce4,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,2,262144,10879,24.096332,448,558.035714,5c1552df8030fce4,aa93b299a8716384,43,5c1552df8030fce4,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,3,262144,10879,24.096332,459,544.662309,5c1552df8030fce4,aa93b299a8716384,41,5c1552df8030fce4,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-262144-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,4,262144,10879,24.096332,429,582.750583,5c1552df8030fce4,aa93b299a8716384,41,5c1552df8030fce4,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,0,1048576,42639,24.591946,1891,528.820730,5236623b1e38a3a3,5bb754c142695973,221,5236623b1e38a3a3,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,1,1048576,42639,24.591946,1991,502.260171,5236623b1e38a3a3,5bb754c142695973,301,5236623b1e38a3a3,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,2,1048576,42639,24.591946,1924,519.750520,5236623b1e38a3a3,5bb754c142695973,206,5236623b1e38a3a3,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,3,1048576,42639,24.591946,1897,527.148129,5236623b1e38a3a3,5bb754c142695973,296,5236623b1e38a3a3,true,true,passed
macOS,zstd,compression-bench-zstd-1-pso_like-1048576-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,pso_like,4,1048576,42639,24.591946,1805,554.016620,5236623b1e38a3a3,5bb754c142695973,286,5236623b1e38a3a3,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,0,65536,6808,9.626322,130,480.769231,2772eb7b5d580d96,2482c1c48df54ebf,7,2772eb7b5d580d96,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,1,65536,6808,9.626322,142,440.140845,2772eb7b5d580d96,2482c1c48df54ebf,23,2772eb7b5d580d96,true,true,passed
macOS,zstd,compression-bench-zstd-1-high_compressibility-65536-v1,MacBookPro18,1,Apple M1 Pro,macOS 14.6.1,1.5.6,1,high_compressibility,2,65536,6808,9.626322,125,500.000000,2772eb7b5d580d96,2482c1c48df54ebf,7,2772eb7b5d580d96,true,true,passed
