platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,noop,compression-bench-noop-0-high_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,4,65536,65536,1.000000,87,718.390805,2772eb7b5d580d96,2772eb7b5d580d96,0,2772eb7b5d580d96,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,0,262144,262144,1.000000,2115,118.203310,dcf9578e5a22ffc3,dcf9578e5a22ffc3,28,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,1,262144,262144,1.000000,430,581.395349,dcf9578e5a22ffc3,dcf9578e5a22ffc3,24,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,2,262144,262144,1.000000,350,714.285714,dcf9578e5a22ffc3,dcf9578e5a22ffc3,6,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,3,262144,262144,1.000000,382,654.450262,dcf9578e5a22ffc3,dcf9578e5a22ffc3,27,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,4,262144,262144,1.000000,351,712.250712,dcf9578e5a22ffc3,dcf9578e5a22ffc3,6,dcf9578e5a22ffc3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,0,1048576,1048576,1.000000,1484,673.854447,c8116c5bb5e46840,c8116c5bb5e46840,103,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,1,1048576,1048576,1.000000,1415,706.713781,c8116c5bb5e46840,c8116c5bb5e46840,27,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,2,1048576,1048576,1.000000,1409,709.723208,c8116c5bb5e46840,c8116c5bb5e46840,173,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,3,1048576,1048576,1.000000,1530,653.594771,c8116c5bb5e46840,c8116c5bb5e46840,103,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,4,1048576,1048576,1.000000,1401,713.775874,c8116c5bb5e46840,c8116c5bb5e46840,550,c8116c5bb5e46840,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,0,65536,65536,1.000000,88,710.227273,3d44fc31249b7fea,3d44fc31249b7fea,1,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,1,65536,65536,1.000000,87,718.390805,3d44fc31249b7fea,3d44fc31249b7fea,0,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,2,65536,65536,1.000000,87,718.390805,3d44fc31249b7fea,3d44fc31249b7fea,5,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,3,65536,65536,1.000000,87,718.390805,3d44fc31249b7fea,3d44fc31249b7fea,0,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,4,65536,65536,1.000000,87,718.390805,3d44fc31249b7fea,3d44fc31249b7fea,4,3d44fc31249b7fea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,0,262144,262144,1.000000,352,710.227273,847d87b26df4af9b,847d87b26df4af9b,31,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,1,262144,262144,1.000000,349,716.332378,847d87b26df4af9b,847d87b26df4af9b,20,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,2,262144,262144,1.000000,351,712.250712,847d87b26df4af9b,847d87b26df4af9b,5,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,3,262144,262144,1.000000,350,714.285714,847d87b26df4af9b,847d87b26df4af9b,23,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,4,262144,262144,1.000000,351,712.250712,847d87b26df4af9b,847d87b26df4af9b,29,847d87b26df4af9b,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,0,1048576,1048576,1.000000,2332,428.816467,31bf0a2c90ad6cea,31bf0a2c90ad6cea,28,31bf0a2c90ad6cea,true,true,passed
macOS,noop,compression-bench-noop-0-low_compressibility-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,low_compressibility,1,1048576,1048576,1.000000,1448,690.607735,31bf0a2c90ad6cea,31bf0a2c90ad6cea,26,31bf0a2c90ad6cea,true,true,passed
