platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,65536,65536,1.000000,87,718.390805,7545158f165814bb,7545158f165814bb,1,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,65536,65536,1.000000,87,718.390805,7545158f165814bb,7545158f165814bb,0,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,65536,65536,1.000000,98,637.755102,7545158f165814bb,7545158f165814bb,6,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,65536,65536,1.000000,85,735.294118,7545158f165814bb,7545158f165814bb,0,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,65536,65536,1.000000,87,718.390805,7545158f165814bb,7545158f165814bb,1,7545158f165814bb,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,262144,262144,1.000000,374,668.449198,5c1552df8030fce4,5c1552df8030fce4,24,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,262144,262144,1.000000,334,748.502994,5c1552df8030fce4,5c1552df8030fce4,5,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,262144,262144,1.000000,328,762.195122,5c1552df8030fce4,5c1552df8030fce4,5,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,262144,262144,1.000000,376,664.893617,5c1552df8030fce4,5c1552df8030fce4,4,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-262144-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,262144,262144,1.000000,328,762.195122,5c1552df8030fce4,5c1552df8030fce4,5,5c1552df8030fce4,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,0,1048576,1048576,1.000000,1317,759.301443,5236623b1e38a3a3,5236623b1e38a3a3,23,5236623b1e38a3a3,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,1,1048576,1048576,1.000000,1319,758.150114,5236623b1e38a3a3,5236623b1e38a3a3,21,5236623b1e38a3a3,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,2,1048576,1048576,1.000000,1314,761.035008,5236623b1e38a3a3,5236623b1e38a3a3,22,5236623b1e38a3a3,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,3,1048576,1048576,1.000000,1318,758.725341,5236623b1e38a3a3,5236623b1e38a3a3,180,5236623b1e38a3a3,true,true,passed
macOS,noop,compression-bench-noop-0-pso_like-1048576-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,pso_like,4,1048576,1048576,1.000000,1353,739.098300,5236623b1e38a3a3,5236623b1e38a3a3,26,5236623b1e38a3a3,true,true,passed
macOS,noop,compression-bench-noop-0-high_compressibility-65536-v1,"MacBookPro18,1",Apple M1 Pro,macOS 14.6.1,1.0.0,0,high_compressibility,0,65536,65536,1.000000,82,762.195122,2772eb7b5d580d96,2772eb7b5d580d96,0,2772eb7b5d580d96,true,true,passed
