Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
ExecuteForegroundTask,47635,1305.235885,8.432930,0.407687,0.416944,0.009257,36.902541,36.903006,0.000465,0.000000,0.074194,0.000177,0.000653,
UWorld_Tick,1991,58.347975,5.677752,2.781740,2.782914,0.001174,36.900071,36.904604,0.004533,0.001174,0.011099,0.002852,0.000658,
World Tick Time,1991,58.348067,5.585490,2.781789,2.782913,0.001124,36.900107,36.904599,0.004492,0.001124,0.011057,0.002805,0.000651,
STAT_FMobileSceneRenderer_Render,1997,57.725418,5.488396,2.277580,2.286878,0.009298,36.862958,36.872392,0.009434,0.000618,0.009434,0.002748,0.000877,
Tick Time,7964,233.392876,4.672984,2.781834,2.781837,0.000003,36.904528,36.904555,0.000027,0.000001,0.006478,0.000587,0.000989,
Post,5989,173.034249,4.471441,2.302108,2.302362,0.000254,36.903218,36.913753,0.010535,0.000000,0.078441,0.000747,0.001709,
ReleaseTickGroup Block,11946,350.090474,4.361936,2.781913,2.781913,0.000000,36.904422,36.904521,0.000099,0.000000,0.003630,0.000365,0.000495,
TickCompletionEvents,13930,408.298896,4.351106,2.787358,2.790743,0.003385,36.904423,36.904521,0.000098,0.000001,0.003624,0.000312,0.000475,
WaitForTasks,5802,164.451438,4.035278,1.622607,1.622608,0.000001,36.901670,36.903539,0.001869,0.000001,0.210587,0.000695,0.003767,
TaskWorkerIsLookingForWork,44454,1217.734214,3.140691,0.405077,0.405123,0.000046,36.910497,36.910580,0.000083,0.000000,0.001699,0.000071,0.000051,
InitViews,5997,173.461737,3.020484,2.293952,2.293960,0.000008,36.863164,36.866418,0.003254,0.000000,0.004502,0.000504,0.000786,
FRDGBuilder::ExecutePasses,3989,114.790376,2.955326,2.147809,2.147815,0.000006,36.897991,36.898109,0.000118,0.000006,0.460386,0.000741,0.007489,
Execute,3989,114.790379,2.949029,2.147809,2.147815,0.000006,36.897992,36.898108,0.000116,0.000006,0.460385,0.000739,0.007489,
ParallelFor,32116,879.690444,2.754289,0.400483,0.400540,0.000057,36.908516,36.908780,0.000264,0.000001,0.048399,0.000086,0.000417,
FTickFunctionTask,59707,1750.058922,2.561968,2.787377,2.787383,0.000006,36.904511,36.904514,0.000003,0.000000,0.002808,0.000043,0.000091,
TG_PrePhysics,1991,58.353592,2.396289,2.781874,2.781921,0.000047,36.900325,36.901453,0.001128,0.000047,0.003455,0.001204,0.000393,
RedrawViewports,1993,57.322225,2.150226,2.141026,2.141036,0.000010,36.907552,36.909390,0.001838,0.000008,0.002620,0.001079,0.000294,
FViewport_Draw,1995,57.379752,2.149929,2.141028,2.141035,0.000007,36.907564,36.909390,0.001826,0.000003,0.015781,0.001078,0.000440,
STAT_FRDGPass_Execute,88852,2568.530746,2.132480,2.305564,2.305596,0.000032,36.898011,36.898103,0.000092,0.000000,0.359797,0.000024,0.001275,
CharacterMesh1P,7971,230.052207,1.946869,2.260118,2.260276,0.000158,36.908720,36.908775,0.000055,0.000000,0.003030,0.000244,0.000232,
FMeshDrawCommandPassSetupTask,8724,342.997752,1.549523,11.431070,11.431075,0.000005,36.865614,36.865639,0.000025,0.000003,0.003775,0.000178,0.000134,
