Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
FRDGBuilder::ExecutePasses,1688,114.433098,1.087684,1.384037,1.384047,0.000010,16.134803,16.135014,0.000211,0.000010,0.030333,0.000644,0.000931,
Execute,1688,114.433114,1.084245,1.384038,1.384047,0.000009,16.134805,16.135013,0.000208,0.000009,0.030332,0.000642,0.000930,
FTickFunctionTask,25203,1739.173399,1.063597,1.669599,1.669611,0.000012,16.160964,16.160966,0.000002,0.000000,0.005285,0.000042,0.000097,
TG_PrePhysics,841,57.967286,0.991785,1.650296,1.650335,0.000039,16.155477,16.158479,0.003002,0.000039,0.006808,0.001179,0.000448,
FMeshDrawCommandPassSetupTask,5051,346.993468,0.922926,1.506550,1.507156,0.000606,16.062939,16.063020,0.000081,0.000011,0.002470,0.000183,0.000143,
FViewport_Draw,844,56.971822,0.899439,1.349444,1.349451,0.000007,16.161494,16.163785,0.002291,0.000005,0.022234,0.001066,0.000782,
RedrawViewports,843,56.904301,0.884046,1.349441,1.349451,0.000010,16.161486,16.163787,0.002301,0.000010,0.002301,0.001049,0.000283,
Post,2532,173.362057,0.857806,1.531522,1.531600,0.000078,16.135606,16.136794,0.001188,0.000000,0.016546,0.000339,0.000603,
CharacterMesh1P,3371,229.543416,0.846305,1.476806,1.477152,0.000346,16.162423,16.162481,0.000058,0.000000,0.002524,0.000251,0.000249,
STAT_FRDGPass_Execute,37653,2578.928266,0.725524,1.534754,1.535705,0.000951,16.134854,16.135005,0.000151,0.000000,0.021858,0.000019,0.000126,
StatsNew Tick,844,58.166753,0.685193,1.648408,1.650021,0.001613,16.156515,16.158415,0.001900,0.000062,0.031358,0.000812,0.001183,
MeshDrawCommandPassSetupTask,5051,346.993658,0.668286,1.506557,1.507156,0.000599,16.062981,16.063019,0.000038,0.000009,0.002100,0.000132,0.000120,
TG_EndPhysics,841,57.973312,0.659813,1.653879,1.653896,0.000017,16.159020,16.160554,0.001534,0.000017,0.008292,0.000785,0.000440,
Add To History,844,58.173204,0.605764,1.650016,1.650020,0.000004,16.157703,16.158414,0.000711,0.000004,0.011239,0.000718,0.000527,
FActorComponentTickFunction::ExecuteTick,6720,463.895631,0.591146,1.674919,1.675194,0.000275,16.160923,16.160936,0.000013,0.000000,0.002188,0.000088,0.000128,
SlateDrawWindowsCommand,841,55.003159,0.580464,0.845170,0.862628,0.017458,16.133643,16.135201,0.001558,0.000255,0.017458,0.000690,0.000616,
Dynamic shadow setup,1692,115.774240,0.551940,1.506679,1.506982,0.000303,16.120557,16.121329,0.000772,0.000046,0.015470,0.000326,0.000414,
Slate::DrawWindow_RenderThread,841,55.003572,0.538982,0.845183,0.862571,0.017388,16.133655,16.135099,0.001444,0.000237,0.017388,0.000641,0.000611,
FParallelAnimationEvaluationTask,840,58.044786,0.532057,1.675204,1.675374,0.000170,16.146302,16.146788,0.000486,0.000148,0.002530,0.000633,0.000295,
Shadows,2538,173.813068,0.524834,1.531478,1.531520,0.000042,16.133242,16.133372,0.000130,0.000000,0.001836,0.000207,0.000247,
Queue Submit,8417,547.627453,0.509276,0.778841,0.778855,0.000014,16.148719,16.148779,0.000060,0.000002,0.009792,0.000061,0.000129,
Slate RT: Rendering,841,55.066133,0.507385,0.862554,0.862571,0.000017,16.133673,16.135099,0.001426,0.000017,0.003371,0.000603,0.000193,
FEngineLoop::PreInitPreStartupScreen,1,1.992615,0.501853,0.339872,0.841725,0.501853,0.339872,0.841725,0.501853,0.501853,0.501853,0.501853,0.000000,
Physics Tick,1683,116.873206,0.483988,1.748290,1.748305,0.000015,16.148008,16.148511,0.000503,0.000007,0.002406,0.000288,0.000307,
FEngineLoop::PreInitPreStartupScreen.AfterStats,1,2.066500,0.483910,0.357811,0.841721,0.483910,0.357811,0.841721,0.483910,0.483910,0.483910,0.483910,0.000000,
PerformAnimEvaluation_WorkerThread,840,58.044838,0.477391,1.675209,1.675371,0.000162,16.146313,16.146780,0.000467,0.000142,0.002510,0.000568,0.000267,
FPhysicsSolverAdvanceTask,840,58.332531,0.474592,1.748315,1.749592,0.001277,16.147909,16.148513,0.000604,0.000167,0.002464,0.000565,0.000249,
FEngineLoop::PreInitPostStartupScreen,1,2.154689,0.464104,0.841726,1.305830,0.464104,0.841726,1.305830,0.464104,0.464104,0.464104,0.464104,0.000000,
FEngineLoop::PreInitPostStartupScreen.AfterStats,1,2.154699,0.464102,0.841728,1.305830,0.464102,0.841728,1.305830,0.464102,0.464102,0.464102,0.464102,0.000000,
Slate RT: Draw Batches,840,57.144886,0.459839,1.435610,1.436275,0.000665,16.133744,16.135088,0.001344,0.000208,0.003295,0.000547,0.000179,
FWaitingQueue_Unpark_SignalWaitingThread,16030,1014.178057,0.458626,0.358421,0.358435,0.000014,16.164311,16.164324,0.000013,0.000000,0.002277,0.000029,0.000038,
AnimGameThreadTime,3366,228.169512,0.453730,1.406781,1.406784,0.000003,16.158846,16.158971,0.000125,0.000003,0.002153,0.000135,0.000098,
DeleteSceneRenderer,846,58.298743,0.447709,1.622644,1.622827,0.000183,16.133570,16.134106,0.000536,0.000083,0.001946,0.000529,0.000264,
STAT_GenerateDynamicMeshDrawCommands,4208,289.081790,0.443105,1.506584,1.506953,0.000369,16.062982,16.063018,0.000036,0.000008,0.002090,0.000105,0.000101,
FCompilePipelineStateTask,56,6.449563,0.441041,1.436291,1.438127,0.001836,10.049243,10.119050,0.069807,0.000133,0.069807,0.007876,0.017568,
Init dynamic shadows,1692,115.774533,0.425495,1.506717,1.506881,0.000164,16.120556,16.121330,0.000774,0.000029,0.015472,0.000251,0.000420,
View Visibility,846,57.905556,0.422806,1.505543,1.506134,0.000591,16.114947,16.115540,0.000593,0.000081,0.002261,0.000500,0.000203,
ProcessVisibilityTasks,846,57.905560,0.421971,1.505544,1.506133,0.000589,16.114948,16.115540,0.000592,0.000081,0.002260,0.000499,0.000203,
BeginRenderingViewFamily,842,57.331059,0.417757,1.476643,1.494886,0.018243,16.161823,16.163272,0.001449,0.000140,0.018243,0.000496,0.000627,
FEngineLoop::Init,2,9.772210,0.409334,1.306762,1.511423,0.204661,1.306751,1.511424,0.204673,0.204661,0.204673,0.204667,0.000008,
USkinnedMeshComponent_TickComponent,2520,173.993256,0.386398,1.674941,1.675191,0.000250,16.158252,16.158261,0.000009,0.000000,0.002167,0.000153,0.000138,
Scene::UpdateAllPrimitiveSceneInfos,847,57.495288,0.384358,1.383016,1.383982,0.000966,16.114219,16.114658,0.000439,0.000119,0.004974,0.000454,0.000243,
FScene_UpdateAllPrimitiveSceneInfos,847,57.495300,0.383840,1.383019,1.383982,0.000963,16.114219,16.114658,0.000439,0.000119,0.004974,0.000453,0.000243,
SkinnedMeshComp Tick,2520,173.993292,0.383734,1.674943,1.675191,0.000248,16.158253,16.158260,0.000007,0.000000,0.002165,0.000152,0.000138,
UpdatePrimitive,847,57.495308,0.382314,1.383021,1.383982,0.000961,16.114221,16.114658,0.000437,0.000119,0.004972,0.000451,0.000243,
ParallelFor Task,1741,113.125171,0.364424,0.772450,0.773002,0.000552,16.162276,16.162482,0.000206,0.000000,0.038117,0.000209,0.001994,
Initial UObject load,1,2.844287,0.351582,0.856014,1.207596,0.351582,0.856014,1.207596,0.351582,0.351582,0.351582,0.351582,0.000000,
Opaque,846,58.321358,0.351384,1.628021,1.628193,0.000172,16.133374,16.133856,0.000482,0.000021,0.004405,0.000415,0.000279,
SK_Mannequin_Arms,2521,171.663930,0.350425,1.476810,1.477152,0.000342,16.162424,16.162481,0.000057,0.000014,0.001372,0.000139,0.000096,
FSceneRenderer::FinishInitDynamicShadows,846,57.888324,0.349427,1.506984,1.522457,0.015473,16.120555,16.121330,0.000775,0.000091,0.015473,0.000413,0.000546,
ProcessNewlyLoadedUObjects,2,4.658508,0.347119,0.860408,1.207525,0.347117,1.289728,1.289730,0.000002,0.000002,0.347117,0.173560,0.245447,
FSceneRenderer::FinishGatherShadowPrimitives,846,57.888344,0.345971,1.506987,1.522455,0.015468,16.120558,16.121328,0.000770,0.000089,0.015468,0.000409,0.000545,
STAT_RenderThreadFinalize,846,57.888617,0.345102,1.507056,1.522454,0.015398,16.120559,16.121328,0.000769,0.000089,0.015398,0.000408,0.000543,
TP_Weapon,2529,171.342055,0.340565,1.402469,1.402471,0.000002,16.162285,16.162418,0.000133,0.000001,0.002185,0.000135,0.000121,
STAT_Vulkan_RHICreateComputePipelineState,11,113.202499,0.335954,1.535831,1.538204,0.002373,1.628804,1.633002,0.004198,0.002373,0.069639,0.030541,0.022766,
