platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,0,65536,3329,19.686392,172,363.372093,7545158f165814bb,115e52b2724a0970,78,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,1,65536,3329,19.686392,188,332.446809,7545158f165814bb,115e52b2724a0970,71,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,2,65536,3329,19.686392,164,381.097561,7545158f165814bb,115e52b2724a0970,65,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,3,65536,3329,19.686392,159,393.081761,7545158f165814bb,115e52b2724a0970,64,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,4,65536,3329,19.686392,158,395.569620,7545158f165814bb,115e52b2724a0970,62,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,0,262144,12455,21.047290,584,428.082192,5c1552df8030fce4,f012318f6074f626,270,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,1,262144,12455,21.047290,598,418.060201,5c1552df8030fce4,f012318f6074f626,280,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,2,262144,12455,21.047290,642,389.408100,5c1552df8030fce4,f012318f6074f626,1429,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,3,262144,12455,21.047290,971,257.466529,5c1552df8030fce4,f012318f6074f626,343,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,4,262144,12455,21.047290,1068,234.082397,5c1552df8030fce4,f012318f6074f626,513,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,0,1048576,49044,21.380312,2825,353.982301,5236623b1e38a3a3,5c3d46b13b31ff75,1398,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,1,1048576,49044,21.380312,2215,451.467269,5236623b1e38a3a3,5c3d46b13b31ff75,1116,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,2,1048576,49044,21.380312,2254,443.655723,5236623b1e38a3a3,5c3d46b13b31ff75,1016,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,3,1048576,49044,21.380312,2218,450.856628,5236623b1e38a3a3,5c3d46b13b31ff75,1091,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,pso_like,4,1048576,49044,21.380312,2194,455.788514,5236623b1e38a3a3,5c3d46b13b31ff75,1036,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,0,65536,7030,9.322333,167,374.251497,2772eb7b5d580d96,757bf933859218e5,42,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,1,65536,7030,9.322333,164,381.097561,2772eb7b5d580d96,757bf933859218e5,39,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,2,65536,7030,9.322333,171,365.497076,2772eb7b5d580d96,757bf933859218e5,39,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,3,65536,7030,9.322333,162,385.802469,2772eb7b5d580d96,757bf933859218e5,40,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,4,65536,7030,9.322333,166,376.506024,2772eb7b5d580d96,757bf933859218e5,36,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,0,262144,27866,9.407306,610,409.836066,dcf9578e5a22ffc3,3fa3de1e07c397c3,162,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,1,262144,27866,9.407306,657,380.517504,dcf9578e5a22ffc3,3fa3de1e07c397c3,150,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,2,262144,27866,9.407306,598,418.060201,dcf9578e5a22ffc3,3fa3de1e07c397c3,159,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,3,262144,27866,9.407306,591,423.011844,dcf9578e5a22ffc3,3fa3de1e07c397c3,148,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,4,262144,27866,9.407306,603,414.593698,dcf9578e5a22ffc3,3fa3de1e07c397c3,152,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,0,1048576,111478,9.406125,2409,415.110004,c8116c5bb5e46840,0e0bcec4e0bfa274,668,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,1,1048576,111478,9.406125,2357,424.268137,c8116c5bb5e46840,0e0bcec4e0bfa274,644,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,2,1048576,111478,9.406125,2397,417.188152,c8116c5bb5e46840,0e0bcec4e0bfa274,648,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,3,1048576,111478,9.406125,2387,418.935903,c8116c5bb5e46840,0e0bcec4e0bfa274,641,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,high_compressibility,4,1048576,111478,9.406125,6599,151.538112,c8116c5bb5e46840,0e0bcec4e0bfa274,1129,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,0,65536,60210,1.088457,353,177.053824,3d44fc31249b7fea,7822edf615c4436c,199,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,1,65536,60210,1.088457,342,182.748538,3d44fc31249b7fea,7822edf615c4436c,195,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,2,65536,60210,1.088457,344,181.686047,3d44fc31249b7fea,7822edf615c4436c,194,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,3,65536,60210,1.088457,346,180.635838,3d44fc31249b7fea,7822edf615c4436c,192,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,4,65536,60210,1.088457,341,183.284457,3d44fc31249b7fea,7822edf615c4436c,191,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,0,262144,239969,1.092408,1316,189.969605,847d87b26df4af9b,8795b3f65cb5af6f,798,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,1,262144,239969,1.092408,1320,189.393939,847d87b26df4af9b,8795b3f65cb5af6f,788,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,2,262144,239969,1.092408,1319,189.537528,847d87b26df4af9b,8795b3f65cb5af6f,781,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,3,262144,239969,1.092408,1319,189.537528,847d87b26df4af9b,8795b3f65cb5af6f,782,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,4,262144,239969,1.092408,1513,165.234633,847d87b26df4af9b,8795b3f65cb5af6f,891,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,0,1048576,959556,1.092772,5333,187.511719,31bf0a2c90ad6cea,4114113511f8abf1,3188,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,1,1048576,959556,1.092772,5285,189.214759,31bf0a2c90ad6cea,4114113511f8abf1,3441,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,2,1048576,959556,1.092772,5311,188.288458,31bf0a2c90ad6cea,4114113511f8abf1,3255,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,3,1048576,959556,1.092772,5271,189.717321,31bf0a2c90ad6cea,4114113511f8abf1,3233,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,1,low_compressibility,4,1048576,959556,1.092772,5268,189.825361,31bf0a2c90ad6cea,4114113511f8abf1,4931,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,6,pso_like,0,65536,2796,23.439199,552,113.224638,7545158f165814bb,e9a8baa36143332f,49,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,6,pso_like,1,65536,2796,23.439199,509,122.789784,7545158f165814bb,e9a8baa36143332f,49,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,"iPad mini (6th generation) [iPad14,1]",Apple A15 Bionic,iOS 26.3.1,1.1.0,6,pso_like,2,65536,2796,23.439199,500,125.000000,7545158f165814bb,e9a8baa36143332f,45,7545158f165814bb,true,true,passed
