Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
ParallelFor,27710,934.916454,2.232718,0.499580,0.499719,0.000139,30.138380,30.138592,0.000212,0.000000,0.021849,0.000081,0.000231,
FRDGBuilder::ExecutePasses,3276,116.036302,1.813683,1.903797,1.903803,0.000006,30.136285,30.136341,0.000056,0.000006,0.252000,0.000554,0.004524,
Execute,3276,116.036302,1.809952,1.903797,1.903803,0.000006,30.136286,30.136341,0.000055,0.000006,0.251999,0.000552,0.004524,
FTickFunctionTask,48996,1758.449051,1.721005,2.274978,2.274982,0.000004,30.138166,30.138168,0.000002,0.000000,0.004060,0.000035,0.000092,
TG_PrePhysics,1634,58.623951,1.481816,2.264768,2.264789,0.000021,30.135918,30.137335,0.001417,0.000021,0.004527,0.000907,0.000387,
FViewport_Draw,1637,57.959186,1.300007,1.894976,1.894981,0.000005,30.138254,30.138989,0.000735,0.000002,0.019865,0.000794,0.000525,
RedrawViewports,1636,57.923776,1.287657,1.894974,1.894981,0.000007,30.138251,30.138989,0.000738,0.000006,0.004432,0.000787,0.000231,
STAT_FRDGPass_Execute,72728,2585.653322,1.272517,2.008824,2.008842,0.000018,30.136293,30.136338,0.000045,0.000000,0.189581,0.000017,0.000754,
FMeshDrawCommandPassSetupTask,9011,349.804556,1.249582,4.339157,4.339170,0.000013,30.099231,30.099256,0.000025,0.000000,0.012107,0.000139,0.000228,
Opaque,1640,58.611286,1.152785,2.155482,2.155495,0.000013,30.136092,30.136441,0.000349,0.000001,0.080153,0.000703,0.002772,
TG_EndPhysics,1634,58.624336,1.066007,2.265447,2.265450,0.000003,30.137432,30.137831,0.000399,0.000003,0.009388,0.000652,0.000459,
FEngineLoop::PreInitPreStartupScreen,1,0.941950,1.061628,0.485150,1.546778,1.061628,0.485150,1.546778,1.061628,1.061628,1.061628,1.061628,0.000000,
CharacterMesh1P,6543,234.868710,1.056839,2.279183,2.279342,0.000159,30.137219,30.137300,0.000081,0.000000,0.006604,0.000162,0.000198,
FEngineLoop::PreInitPreStartupScreen.AfterStats,1,0.961724,1.039799,0.506976,1.546775,1.039799,0.506976,1.546775,1.039799,1.039799,1.039799,1.039799,0.000000,
Dynamic shadow setup,3280,116.589664,0.994993,1.996977,1.997065,0.000088,30.129694,30.129831,0.000137,0.000020,0.002488,0.000303,0.000230,
MeshDrawCommandPassSetupTask,9011,349.804570,0.907557,4.339158,4.339170,0.000012,30.099231,30.099256,0.000025,0.000000,0.012106,0.000101,0.000204,
STAT_OGLRHIThread_Flush,10,0.626838,0.902514,2.015523,2.205092,0.189569,17.357219,17.968608,0.611389,0.000246,0.611389,0.090251,0.192238,
Total Slate Tick Time,3269,114.304680,0.887910,1.544302,1.546479,0.002177,30.142145,30.143306,0.001161,0.000014,0.004518,0.000272,0.000256,
View Visibility,1640,58.295039,0.875348,1.996739,1.996813,0.000074,30.129124,30.129493,0.000369,0.000025,0.003855,0.000534,0.000390,
ProcessVisibilityTasks,1640,58.295041,0.874052,1.996740,1.996813,0.000073,30.129124,30.129493,0.000369,0.000024,0.003855,0.000533,0.000390,
Shadows,4920,174.906169,0.841276,2.006723,2.006733,0.000010,30.136042,30.136091,0.000049,0.000000,0.006434,0.000171,0.000268,
FActorComponentTickFunction::ExecuteTick,13064,468.931915,0.821537,2.279051,2.279158,0.000107,30.138096,30.138106,0.000010,0.000000,0.002870,0.000063,0.000113,
Init dynamic shadows,3280,116.589759,0.800070,1.997001,1.997051,0.000050,30.129694,30.129832,0.000138,0.000013,0.002490,0.000244,0.000251,
ExecuteBackgroundTask,4438,149.758060,0.795761,0.507403,0.507407,0.000004,30.140611,30.141868,0.001257,0.000000,0.019193,0.000179,0.000519,
Slate::Tick (Time and Widgets),1634,58.623980,0.783842,2.270753,2.274070,0.003317,30.142144,30.143306,0.001162,0.000144,0.004518,0.000480,0.000193,
Slate::DrawWindows,1635,57.170243,0.755988,1.544510,1.546477,0.001967,30.142158,30.143304,0.001146,0.000139,0.004505,0.000462,0.000195,
FPhysicsSolverAdvanceTask,1633,59.009731,0.725969,2.425104,2.425951,0.000847,30.098241,30.098506,0.000265,0.000113,0.003552,0.000445,0.000300,
RHIInit,1,1.392634,0.718064,0.779728,1.497792,0.718064,0.779728,1.497792,0.718064,0.718064,0.718064,0.718064,0.000000,
Physics Tick,3269,117.976739,0.711540,2.389652,2.389660,0.000008,30.098277,30.098504,0.000227,0.000005,0.005781,0.000218,0.000298,
BeginRenderingViewFamily,1635,58.059704,0.706303,1.978095,1.995662,0.017567,30.138366,30.138762,0.000396,0.000073,0.017567,0.000432,0.000457,
SlateDrawWindowsCommand,1634,57.155382,0.680567,1.547648,1.562047,0.014399,30.136071,30.136382,0.000311,0.000138,0.014399,0.000417,0.000378,
FSceneRenderer::FinishInitDynamicShadows,1640,58.295012,0.677834,1.997065,1.997218,0.000153,30.129693,30.129832,0.000139,0.000044,0.002490,0.000413,0.000243,
FSceneRenderer::FinishGatherShadowPrimitives,1640,58.295017,0.673491,1.997066,1.997218,0.000152,30.129694,30.129831,0.000137,0.000043,0.002488,0.000411,0.000242,
STAT_RenderThreadFinalize,1640,58.295027,0.672656,1.997071,1.997218,0.000147,30.129695,30.129831,0.000136,0.000043,0.002486,0.000410,0.000242,
AnimGameThreadTime,6538,231.828952,0.662569,1.935473,1.935474,0.000001,30.137217,30.137300,0.000083,0.000001,0.002147,0.000101,0.000100,
Slate::DrawWindow_RenderThread,1634,57.155428,0.626455,1.547654,1.561988,0.014334,30.136075,30.136365,0.000290,0.000129,0.014334,0.000383,0.000369,
STAT_GenerateDynamicMeshDrawCommands,7501,291.186927,0.621218,4.339169,4.339169,0.000000,30.099232,30.099254,0.000022,0.000000,0.012103,0.000083,0.000171,
STAT_BlockOnLostWindowRenderCommand,1,1.635534,0.611421,17.357196,17.968617,0.611421,17.357196,17.968617,0.611421,0.611421,0.611421,0.611421,0.000000,
Slate RT: Rendering,1634,57.184075,0.598572,1.561976,1.561988,0.000012,30.136082,30.136365,0.000283,0.000012,0.002395,0.000366,0.000131,
STAT_FRHICommandUpdateBuffer_Execute,22954,813.130906,0.589766,1.908657,1.908733,0.000076,30.137785,30.137814,0.000029,0.000000,0.003568,0.000026,0.000061,
USkinnedMeshComponent_TickComponent,4899,175.860117,0.578280,2.279059,2.279157,0.000098,30.136426,30.136427,0.000001,0.000000,0.002864,0.000118,0.000151,
Scene::UpdateAllPrimitiveSceneInfos,1641,58.138608,0.574998,1.903342,1.903756,0.000414,30.128808,30.128992,0.000184,0.000079,0.004394,0.000350,0.000248,
FScene_UpdateAllPrimitiveSceneInfos,1641,58.138610,0.574425,1.903343,1.903756,0.000413,30.128808,30.128992,0.000184,0.000079,0.004393,0.000350,0.000248,
SK_Mannequin_Arms,4900,176.598698,0.573864,2.390776,2.390793,0.000017,30.137220,30.137300,0.000080,0.000009,0.002869,0.000117,0.000139,
SkinnedMeshComp Tick,4899,175.860123,0.573821,2.279060,2.279157,0.000097,30.136426,30.136427,0.000001,0.000000,0.002864,0.000117,0.000151,
UpdatePrimitive,1641,58.138614,0.573263,1.903344,1.903756,0.000412,30.128809,30.128991,0.000182,0.000079,0.004392,0.000349,0.000248,
STAT_FEngineLoop_Tick_SlateInput,1634,58.625770,0.563524,2.264041,2.264576,0.000535,30.134901,30.135743,0.000842,0.000066,0.028652,0.000345,0.000764,
Slate RT: Draw Batches,1633,58.787439,0.548476,2.358319,2.359061,0.000742,30.136102,30.136362,0.000260,0.000113,0.002365,0.000336,0.000126,
STAT_FEngineLoop_Tick_PollGameDeviceState,1634,58.625814,0.531401,2.264045,2.264558,0.000513,30.134901,30.135726,0.000825,0.000057,0.028604,0.000325,0.000761,
CreateBoundShaderState time,54187,1927.095907,0.520402,2.019304,2.038172,0.018868,30.137779,30.137780,0.000001,0.000000,0.055642,0.000010,0.000459,
ParallelMdcDispatchPassSetup,21320,757.828076,0.515626,1.996863,1.996865,0.000002,30.129890,30.129893,0.000003,0.000000,0.002022,0.000024,0.000067,
StatsNew Tick,1636,56.171138,0.503167,0.506923,0.524540,0.017617,29.631671,29.632201,0.000530,0.000020,0.017617,0.000308,0.000476,
FParallelAnimationEvaluationTask,1633,58.799212,0.500277,2.279182,2.279342,0.000160,30.050807,30.051663,0.000856,0.000097,0.006608,0.000306,0.000286,
Draw Window And Children Time,1635,57.170397,0.491017,1.544526,1.544624,0.000098,30.142979,30.143243,0.000264,0.000091,0.004378,0.000300,0.000156,
Slate::DrawWindow,1635,57.170509,0.476752,1.544581,1.544623,0.000042,30.142986,30.143242,0.000256,0.000042,0.004369,0.000292,0.000155,
Render Audio,1148,40.579544,0.466189,1.829323,1.829759,0.000436,30.119336,30.119439,0.000103,0.000006,0.005968,0.000406,0.000462,
PerformAnimEvaluation_WorkerThread,1633,58.799233,0.458092,2.279186,2.279340,0.000154,30.051084,30.051657,0.000573,0.000094,0.006595,0.000281,0.000241,
Slate_PaintSlowPath,1635,57.170541,0.449875,1.544591,1.544621,0.000030,30.142995,30.143236,0.000241,0.000030,0.004354,0.000275,0.000152,
Add To History,1636,56.205125,0.445691,0.524534,0.524540,0.000006,29.631703,29.632200,0.000497,0.000003,0.005202,0.000272,0.000199,
FEngineLoop::Init,2,9.197728,0.434896,1.790459,2.007904,0.217445,1.790453,2.007904,0.217451,0.217445,0.217451,0.217448,0.000004,
DeleteSceneRenderer,1640,58.855188,0.424334,2.271272,2.271357,0.000085,30.136026,30.136275,0.000249,0.000041,0.003389,0.000259,0.000188,
BP_FirstPersonPlayerController_C,1635,57.943883,0.423063,1.919142,1.919149,0.000007,30.135940,30.136098,0.000158,0.000007,0.004057,0.000259,0.000180,
UWorld_SendAllEndOfFrameUpdates,1636,58.095555,0.421531,1.978095,1.978445,0.000350,30.138366,30.138597,0.000231,0.000021,0.002033,0.000258,0.000119,
Post Tick Component Update,1636,58.095557,0.420266,1.978096,1.978445,0.000349,30.138367,30.138597,0.000230,0.000021,0.002033,0.000257,0.000118,
PlayerController Tick,1633,58.612162,0.420014,2.274986,2.279042,0.004056,30.135940,30.136098,0.000158,0.000072,0.004056,0.000257,0.000180,
PC Tick Actor,1633,58.612164,0.418072,2.274986,2.279042,0.004056,30.135941,30.136097,0.000156,0.000071,0.004056,0.000256,0.000180,
