Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
Chaos/Solver/Collisions/NumManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumUpdatedManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Joints/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Character/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumBroadPhasePairs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumMidPhases,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/MidPhase/NumShapePair,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/MidPhase/NumGeneric,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Iterations/NumPosition,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Iterations/NumVelocity,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Iterations/NumProjection,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheMemDemand,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheAllowance,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheOpCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheReadCursor,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/IoRequestCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/IoRequestReadCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/IoRequestReadBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/IoRequestCancelCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/IoRequestErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/IoDecodeErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheGetCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CachePutCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CachePutExistingCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CachePutRejectCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheCachedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheWrittenBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CachePendingBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CacheReadBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/CachePutRejectBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpConnectCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDisconnectCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpGetCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpErrorCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpRetryCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpCancelCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpPendingCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpInflightCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDownloadedBytes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpBandwidthMbps,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDurationMs,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDurationMsAvg,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Ias/HttpDurationMsMax,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/PrimitiveArrayMax,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Lights,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/NumProcessedPrimitives,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/FrustumCull/NumCulledPrimitives,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/FrustumCull/NumPrimitivesPerTask,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/OcclusionCull/NumTestedQueries,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/OcclusionCull/NumCulledPrimitives,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/Relevance/NumPrimitivesPerPacket,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Visibility/Relevance/NumPrimitivesProcessed,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/OnDemandShaderRequests,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Shaders/Compiled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
